Cities,Impersonation,Fondling,Pornography/Obscene Material,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Theft From Motor Vehicle,Simple Assault,Burglary/Breaking & Entering,Destruction/Damage/Vandalism of Property,Intimidation,Wire Fraud,Aggravated Assault,Drug/Narcotic Violations,Shoplifting,Weapon Law Violations,Motor Vehicle Theft,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Stolen Property Offenses,Statutory Rape,Theft From Building,Sodomy,Embezzlement,Counterfeiting/Forgery,Robbery,Drug Equipment Violations,Identity Theft,Rape,Kidnapping/Abduction,Sexual Assault With An Object,Murder and Nonnegligent Manslaughter,Animal Cruelty,Arson,Purchasing Prostitution,Extortion/Blackmail,Pocket-picking,Purse-snatching,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts",Assisting or Promoting Prostitution,Incest,Prostitution,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Welfare Fraud,Negligent Manslaughter,Theft From Coin-Operated Machine or Device,Gambling Equipment Violation,Betting/Wagering,Total
BROOKLINE,3.0,8.0,0.0,142.0,29.0,62.0,89.0,74.0,128.0,2.0,21.0,38.0,0.0,105.0,0.0,22.0,43.0,22.0,2.0,0.0,206.0,0.0,0.0,7.0,9.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1033.0
CANTON,19.0,1.0,1.0,51.0,2.0,19.0,10.0,7.0,55.0,33.0,0.0,64.0,12.0,13.0,8.0,13.0,24.0,20.0,2.0,2.0,19.0,2.0,2.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0
COHASSET,13.0,1.0,0.0,27.0,0.0,13.0,17.0,8.0,33.0,9.0,1.0,5.0,1.0,3.0,0.0,0.0,15.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
DOVER,12.0,0.0,0.0,6.0,0.0,2.0,2.0,1.0,10.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,9.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
FOXBOROUGH,23.0,0.0,4.0,57.0,6.0,30.0,131.0,21.0,85.0,27.0,0.0,32.0,18.0,20.0,5.0,8.0,26.0,7.0,5.0,1.0,23.0,1.0,4.0,8.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0
HOLBROOK,11.0,0.0,3.0,56.0,2.0,12.0,69.0,17.0,54.0,10.0,0.0,16.0,26.0,10.0,0.0,8.0,22.0,5.0,5.0,1.0,11.0,1.0,0.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0
MEDWAY,3.0,1.0,2.0,45.0,0.0,11.0,21.0,7.0,2.0,1.0,0.0,14.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
NEEDHAM,53.0,2.0,3.0,91.0,0.0,8.0,27.0,7.0,35.0,20.0,0.0,8.0,19.0,8.0,4.0,3.0,52.0,4.0,7.0,0.0,24.0,0.0,3.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0
NORWOOD,45.0,4.0,3.0,149.0,2.0,35.0,66.0,23.0,100.0,23.0,3.0,21.0,55.0,19.0,6.0,28.0,54.0,19.0,9.0,0.0,33.0,5.0,3.0,19.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0
PLAINVILLE,4.0,0.0,0.0,11.0,4.0,8.0,18.0,6.0,18.0,1.0,2.0,8.0,3.0,13.0,0.0,4.0,2.0,16.0,0.0,0.0,16.0,0.0,0.0,5.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
QUINCY,144.0,15.0,2.0,469.0,22.0,170.0,343.0,265.0,274.0,319.0,2.0,238.0,160.0,154.0,35.0,71.0,81.0,75.0,18.0,4.0,101.0,0.0,5.0,59.0,49.0,0.0,0.0,29.0,8.0,0.0,0.0,0.0,4.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3142.0
SHARON,4.0,1.0,1.0,28.0,0.0,6.0,6.0,11.0,26.0,6.0,0.0,6.0,7.0,3.0,2.0,2.0,15.0,2.0,5.0,0.0,5.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0
STOUGHTON,19.0,5.0,2.0,156.0,1.0,30.0,147.0,38.0,94.0,57.0,0.0,48.0,47.0,54.0,16.0,29.0,43.0,11.0,14.0,5.0,34.0,0.0,6.0,29.0,12.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0
WALPOLE,16.0,9.0,3.0,103.0,0.0,31.0,82.0,34.0,69.0,31.0,0.0,28.0,39.0,80.0,8.0,8.0,51.0,13.0,9.0,2.0,24.0,0.0,0.0,13.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0
WELLESLEY,36.0,0.0,0.0,85.0,0.0,22.0,17.0,11.0,37.0,14.0,0.0,5.0,13.0,6.0,5.0,0.0,26.0,14.0,13.0,0.0,12.0,2.0,1.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0
WESTWOOD,35.0,2.0,0.0,64.0,3.0,23.0,11.0,8.0,28.0,15.0,0.0,7.0,16.0,25.0,3.0,6.0,31.0,9.0,7.0,1.0,14.0,1.0,4.0,9.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0
WEYMOUTH,35.0,10.0,5.0,158.0,4.0,90.0,135.0,48.0,189.0,71.0,0.0,120.0,114.0,128.0,17.0,31.0,72.0,18.0,16.0,14.0,74.0,4.0,11.0,21.0,20.0,0.0,0.0,10.0,10.0,0.0,1.0,0.0,3.0,0.0,3.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1450.0
WRENTHAM,3.0,1.0,0.0,29.0,0.0,20.0,14.0,11.0,12.0,3.0,2.0,3.0,3.0,143.0,0.0,11.0,13.0,4.0,3.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,303.0
ABINGTON,16.0,0.0,2.0,73.0,0.0,0.0,77.0,19.0,61.0,39.0,0.0,30.0,49.0,21.0,12.0,16.0,24.0,8.0,1.0,3.0,14.0,0.0,0.0,8.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0
BRIDGEWATER,17.0,1.0,1.0,59.0,0.0,12.0,48.0,30.0,69.0,17.0,0.0,48.0,18.0,4.0,1.0,8.0,25.0,7.0,8.0,9.0,14.0,0.0,0.0,13.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0
BROCKTON,125.0,45.0,17.0,897.0,5.0,385.0,1092.0,277.0,712.0,257.0,0.0,559.0,243.0,159.0,108.0,311.0,133.0,25.0,31.0,41.0,83.0,6.0,13.0,52.0,184.0,1.0,0.0,63.0,27.0,0.0,8.0,0.0,7.0,0.0,3.0,30.0,14.0,0.0,6.0,0.0,0.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5936.0
CARVER,16.0,1.0,3.0,47.0,0.0,9.0,32.0,6.0,46.0,21.0,0.0,19.0,3.0,2.0,3.0,5.0,13.0,3.0,1.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0
DUXBURY,11.0,3.0,0.0,48.0,0.0,7.0,17.0,18.0,28.0,14.0,0.0,6.0,5.0,1.0,1.0,0.0,31.0,3.0,3.0,2.0,22.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0
EAST BRIDGEWATER,11.0,0.0,3.0,39.0,0.0,19.0,40.0,15.0,46.0,19.0,0.0,16.0,5.0,7.0,7.0,10.0,31.0,1.0,3.0,5.0,10.0,0.0,1.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
HALIFAX,9.0,2.0,0.0,23.0,0.0,19.0,27.0,13.0,40.0,7.0,0.0,3.0,2.0,27.0,0.0,4.0,16.0,0.0,6.0,2.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0
HANOVER,8.0,0.0,0.0,26.0,2.0,5.0,7.0,6.0,46.0,0.0,1.0,1.0,0.0,61.0,0.0,4.0,30.0,36.0,6.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0
HANSON,4.0,2.0,3.0,25.0,0.0,1.0,30.0,12.0,26.0,13.0,0.0,16.0,6.0,4.0,3.0,5.0,9.0,6.0,2.0,4.0,11.0,3.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
HINGHAM,19.0,1.0,1.0,78.0,1.0,6.0,31.0,20.0,48.0,20.0,0.0,30.0,16.0,44.0,1.0,8.0,32.0,20.0,2.0,4.0,26.0,4.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0
HULL,7.0,3.0,0.0,49.0,0.0,9.0,56.0,15.0,56.0,14.0,0.0,31.0,18.0,6.0,6.0,3.0,11.0,2.0,1.0,3.0,16.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,318.0
KINGSTON,8.0,1.0,3.0,31.0,1.0,24.0,28.0,9.0,42.0,9.0,0.0,22.0,2.0,19.0,2.0,6.0,21.0,10.0,3.0,0.0,14.0,0.0,1.0,8.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0
MARION,8.0,0.0,1.0,24.0,0.0,1.0,17.0,7.0,34.0,9.0,0.0,8.0,5.0,1.0,1.0,3.0,17.0,0.0,2.0,1.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0
MARSHFIELD,2.0,0.0,3.0,46.0,0.0,11.0,26.0,14.0,45.0,9.0,0.0,24.0,17.0,3.0,6.0,3.0,11.0,0.0,2.0,3.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0
MIDDLEBOROUGH,20.0,1.0,5.0,97.0,0.0,48.0,153.0,39.0,111.0,24.0,1.0,77.0,24.0,11.0,12.0,18.0,36.0,10.0,12.0,7.0,32.0,4.0,0.0,9.0,6.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0
NORWELL,4.0,1.0,1.0,23.0,1.0,4.0,8.0,6.0,12.0,5.0,0.0,7.0,7.0,10.0,1.0,3.0,10.0,1.0,0.0,0.0,7.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
PEMBROKE,32.0,2.0,2.0,33.0,1.0,14.0,48.0,9.0,31.0,10.0,0.0,10.0,24.0,22.0,2.0,3.0,16.0,3.0,1.0,2.0,7.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
PLYMOUTH,38.0,10.0,6.0,150.0,0.0,46.0,317.0,87.0,264.0,86.0,0.0,155.0,77.0,142.0,21.0,23.0,72.0,16.0,25.0,17.0,83.0,5.0,4.0,19.0,17.0,0.0,0.0,31.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1738.0
PLYMPTON,5.0,0.0,0.0,13.0,0.0,12.0,14.0,6.0,12.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
ROCHESTER,4.0,0.0,5.0,12.0,0.0,4.0,16.0,3.0,11.0,8.0,0.0,4.0,5.0,0.0,1.0,2.0,6.0,3.0,0.0,2.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
SCITUATE,9.0,0.0,1.0,26.0,0.0,11.0,40.0,8.0,28.0,4.0,0.0,11.0,8.0,3.0,3.0,1.0,12.0,7.0,2.0,3.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
WAREHAM,14.0,4.0,1.0,182.0,0.0,11.0,116.0,59.0,150.0,39.0,1.0,113.0,23.0,60.0,11.0,28.0,44.0,6.0,17.0,6.0,48.0,4.0,6.0,22.0,15.0,0.0,1.0,11.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0
WEST BRIDGEWATER,11.0,0.0,0.0,30.0,0.0,26.0,16.0,7.0,16.0,6.0,0.0,5.0,8.0,14.0,1.0,3.0,32.0,3.0,4.0,0.0,5.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0
WHITMAN,5.0,1.0,2.0,45.0,1.0,6.0,54.0,15.0,57.0,18.0,0.0,28.0,26.0,27.0,5.0,10.0,16.0,2.0,2.0,1.0,9.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0
CHELSEA,45.0,16.0,6.0,42.0,30.0,110.0,485.0,79.0,317.0,196.0,0.0,162.0,60.0,101.0,46.0,79.0,65.0,18.0,20.0,18.0,130.0,11.0,4.0,25.0,63.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2192.0
REVERE,63.0,17.0,10.0,309.0,6.0,105.0,296.0,102.0,274.0,126.0,0.0,174.0,64.0,205.0,17.0,85.0,91.0,14.0,22.0,7.0,77.0,5.0,5.0,20.0,34.0,0.0,0.0,24.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,14.0,8.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2188.0
WINTHROP,15.0,3.0,0.0,43.0,4.0,20.0,40.0,24.0,66.0,20.0,0.0,18.0,18.0,6.0,6.0,8.0,19.0,5.0,5.0,0.0,15.0,1.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0
ATHOL,7.0,0.0,0.0,79.0,0.0,6.0,89.0,19.0,62.0,8.0,1.0,40.0,25.0,13.0,9.0,3.0,20.0,1.0,1.0,10.0,31.0,1.0,3.0,4.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0
AUBURN,21.0,2.0,0.0,199.0,0.0,17.0,54.0,29.0,68.0,7.0,0.0,24.0,30.0,74.0,3.0,9.0,45.0,10.0,21.0,0.0,4.0,0.0,3.0,15.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0
BERLIN,2.0,0.0,1.0,17.0,0.0,0.0,1.0,4.0,9.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
BLACKSTONE,3.0,0.0,1.0,10.0,1.0,5.0,38.0,11.0,23.0,7.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0
BOLTON,8.0,0.0,4.0,21.0,0.0,2.0,9.0,9.0,27.0,6.0,0.0,0.0,10.0,0.0,2.0,2.0,10.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0
CHARLTON,25.0,0.0,3.0,52.0,2.0,8.0,46.0,11.0,43.0,18.0,0.0,11.0,6.0,2.0,3.0,8.0,23.0,1.0,7.0,3.0,8.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0
DOUGLAS,4.0,1.0,0.0,8.0,0.0,4.0,19.0,4.0,9.0,11.0,0.0,17.0,23.0,1.0,9.0,2.0,9.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
DUDLEY,3.0,0.0,3.0,11.0,0.0,3.0,74.0,7.0,22.0,11.0,0.0,15.0,18.0,3.0,3.0,3.0,8.0,0.0,2.0,4.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0
EAST BROOKFIELD,3.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
FITCHBURG,40.0,20.0,7.0,169.0,13.0,67.0,237.0,113.0,317.0,42.0,0.0,154.0,81.0,71.0,44.0,40.0,62.0,17.0,23.0,4.0,74.0,7.0,3.0,34.0,36.0,1.0,0.0,22.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.0
GARDNER,14.0,5.0,5.0,136.0,0.0,23.0,196.0,65.0,136.0,30.0,0.0,58.0,47.0,81.0,8.0,28.0,62.0,4.0,6.0,9.0,42.0,1.0,0.0,9.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0
GRAFTON,9.0,1.0,1.0,28.0,1.0,9.0,38.0,13.0,28.0,7.0,0.0,15.0,6.0,1.0,2.0,5.0,16.0,4.0,3.0,2.0,7.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
HARDWICK,4.0,4.0,0.0,15.0,0.0,0.0,15.0,6.0,25.0,2.0,0.0,6.0,10.0,2.0,1.0,2.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
HARVARD,35.0,0.0,1.0,63.0,0.0,1.0,6.0,8.0,12.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,37.0,7.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0
HOLDEN,6.0,0.0,1.0,19.0,0.0,4.0,19.0,8.0,14.0,6.0,0.0,3.0,12.0,6.0,0.0,7.0,7.0,3.0,3.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
LANCASTER,5.0,1.0,2.0,27.0,0.0,4.0,13.0,12.0,29.0,9.0,0.0,9.0,1.0,2.0,2.0,4.0,11.0,5.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
LEICESTER,14.0,2.0,3.0,41.0,0.0,13.0,16.0,11.0,28.0,7.0,0.0,23.0,14.0,76.0,6.0,7.0,18.0,2.0,2.0,7.0,9.0,1.0,2.0,4.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0
LEOMINSTER,33.0,15.0,7.0,288.0,0.0,117.0,365.0,126.0,273.0,163.0,0.0,174.0,60.0,253.0,18.0,27.0,133.0,21.0,22.0,8.0,57.0,1.0,4.0,46.0,12.0,0.0,0.0,13.0,7.0,2.0,0.0,1.0,1.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.0
