Cities,Impersonation,Fondling,Pornography/Obscene Material,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Theft From Motor Vehicle,Simple Assault,Burglary/Breaking & Entering,Destruction/Damage/Vandalism of Property,Intimidation,Wire Fraud,Aggravated Assault,Drug/Narcotic Violations,Shoplifting,Weapon Law Violations,Motor Vehicle Theft,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Stolen Property Offenses,Statutory Rape,Theft From Building,Sodomy,Embezzlement,Counterfeiting/Forgery,Robbery,Drug Equipment Violations,Identity Theft,Rape,Kidnapping/Abduction,Sexual Assault With An Object,Murder and Nonnegligent Manslaughter,Animal Cruelty,Arson,Purchasing Prostitution,Extortion/Blackmail,Pocket-picking,Purse-snatching,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts",Assisting or Promoting Prostitution,Incest,Prostitution,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Welfare Fraud,Negligent Manslaughter,Theft From Coin-Operated Machine or Device,Gambling Equipment Violation,Betting/Wagering,Total
IPSWICH,8.0,0.0,1.0,34.0,0.0,14.0,27.0,13.0,23.0,11.0,0.0,12.0,3.0,1.0,4.0,2.0,11.0,4.0,2.0,0.0,8.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0
LYNN,42.0,47.0,7.0,584.0,9.0,208.0,702.0,191.0,657.0,88.0,0.0,346.0,157.0,101.0,71.0,220.0,113.0,53.0,1.0,9.0,43.0,0.0,0.0,38.0,141.0,0.0,0.0,48.0,12.0,0.0,3.0,0.0,5.0,0.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3945.0
LYNNFIELD,19.0,0.0,0.0,48.0,0.0,17.0,21.0,4.0,23.0,9.0,0.0,2.0,4.0,13.0,1.0,3.0,17.0,9.0,3.0,1.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0
MANCHESTER,1.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,17.0,1.0,3.0,2.0,4.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
MERRIMAC,3.0,1.0,1.0,8.0,0.0,2.0,19.0,10.0,8.0,5.0,0.0,1.0,6.0,0.0,2.0,2.0,5.0,2.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
METHUEN,28.0,1.0,1.0,134.0,14.0,64.0,64.0,52.0,168.0,37.0,1.0,27.0,150.0,174.0,1.0,50.0,60.0,102.0,1.0,0.0,2.0,0.0,0.0,8.0,10.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0
NEWBURY,10.0,0.0,4.0,12.0,0.0,0.0,18.0,7.0,14.0,10.0,0.0,5.0,5.0,0.0,5.0,2.0,10.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
NEWBURYPORT,24.0,1.0,4.0,52.0,0.0,14.0,38.0,10.0,56.0,29.0,0.0,9.0,20.0,20.0,3.0,7.0,36.0,13.0,4.0,3.0,24.0,3.0,1.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0
NORTH ANDOVER,18.0,7.0,1.0,49.0,1.0,8.0,36.0,11.0,27.0,20.0,0.0,20.0,34.0,70.0,4.0,11.0,21.0,3.0,4.0,3.0,21.0,2.0,0.0,10.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0
PEABODY,45.0,5.0,1.0,217.0,0.0,94.0,190.0,95.0,228.0,50.0,0.0,120.0,85.0,67.0,11.0,38.0,68.0,39.0,12.0,1.0,39.0,7.0,18.0,24.0,11.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0
